Timestamp,Module,Run Type,Equation,Operator,Initial Condition,Path,Metadata
2026-06-17 09:25:21,main,sweep,shallow_water,gradient,shallow_dam,pipeline_results/sweeps/shallow_water_lax_w_gradient_shallow_dam_sweep_20260617_145520/shallow_water_lax_w_gradient_shallow_dam_N500_20260617_145520,"{'N': 500, 'dt': 0.02, 'dx': 1.0}"
2026-06-17 09:25:21,main,sweep,shallow_water,gradient,shallow_dam,pipeline_results/sweeps/shallow_water_lax_w_gradient_shallow_dam_sweep_20260617_145520/shallow_water_lax_w_gradient_shallow_dam_N1000_20260617_145520,"{'N': 1000, 'dt': 0.01, 'dx': 0.5}"
2026-06-17 09:25:21,main,sweep,shallow_water,gradient,shallow_dam,pipeline_results/sweeps/shallow_water_lax_w_gradient_shallow_dam_sweep_20260617_145520/shallow_water_lax_w_gradient_shallow_dam_N2000_20260617_145520,"{'N': 2000, 'dt': 0.005, 'dx': 0.25}"
2026-06-17 09:25:22,main,sweep,shallow_water,gradient,shallow_dam,pipeline_results/sweeps/shallow_water_lax_w_gradient_shallow_dam_sweep_20260617_145520/shallow_water_lax_w_gradient_shallow_dam_N4000_20260617_145520,"{'N': 4000, 'dt': 0.0025, 'dx': 0.125}"
2026-06-17 15:26:35,main,sweep,advection,gradient,advec_gauss,pipeline_results\sweeps\advection_rk4_upwind_advec_gauss_sweep_20260617_152606\advection_rk4_gradient_advec_gauss_N5000_20260617_152606,"{'N': 5000, 'dt': 0.005, 'dx': 0.05}"
2026-06-17 15:26:35,main,sweep,advection,upwind,advec_gauss,pipeline_results\sweeps\advection_rk4_upwind_advec_gauss_sweep_20260617_152606\advection_rk4_upwind_advec_gauss_N5000_20260617_152606,"{'N': 5000, 'dt': 0.005, 'dx': 0.05}"
2026-06-17 15:26:58,main,sweep,advection,upwind,advec_gauss,pipeline_results\sweeps\advection_rk4_upwind_advec_gauss_sweep_20260617_152654\advection_rk4_upwind_advec_gauss_N2500_20260617_152654,"{'N': 2500, 'dt': 0.01, 'dx': 0.1}"
2026-06-17 15:26:58,main,sweep,advection,gradient,advec_gauss,pipeline_results\sweeps\advection_rk4_upwind_advec_gauss_sweep_20260617_152654\advection_rk4_gradient_advec_gauss_N2500_20260617_152654,"{'N': 2500, 'dt': 0.01, 'dx': 0.1}"
2026-06-17 15:27:01,main,sweep,advection,upwind,advec_gauss,pipeline_results\sweeps\advection_rk4_upwind_advec_gauss_sweep_20260617_152654\advection_rk4_upwind_advec_gauss_N5000_20260617_152654,"{'N': 5000, 'dt': 0.005, 'dx': 0.05}"
2026-06-17 15:27:01,main,sweep,advection,gradient,advec_gauss,pipeline_results\sweeps\advection_rk4_upwind_advec_gauss_sweep_20260617_152654\advection_rk4_gradient_advec_gauss_N5000_20260617_152654,"{'N': 5000, 'dt': 0.005, 'dx': 0.05}"
2026-06-17 15:27:08,main,sweep,advection,upwind,advec_gauss,pipeline_results\sweeps\advection_rk4_upwind_advec_gauss_sweep_20260617_152654\advection_rk4_upwind_advec_gauss_N10000_20260617_152654,"{'N': 10000, 'dt': 0.0025, 'dx': 0.025}"
2026-06-17 15:27:08,main,sweep,advection,gradient,advec_gauss,pipeline_results\sweeps\advection_rk4_upwind_advec_gauss_sweep_20260617_152654\advection_rk4_gradient_advec_gauss_N10000_20260617_152654,"{'N': 10000, 'dt': 0.0025, 'dx': 0.025}"
2026-06-17 15:27:31,main,sweep,advection,upwind,advec_gauss,pipeline_results\sweeps\advection_rk4_upwind_advec_gauss_sweep_20260617_152654\advection_rk4_upwind_advec_gauss_N20000_20260617_152654,"{'N': 20000, 'dt': 0.00125, 'dx': 0.0125}"
2026-06-17 15:27:31,main,sweep,advection,gradient,advec_gauss,pipeline_results\sweeps\advection_rk4_upwind_advec_gauss_sweep_20260617_152654\advection_rk4_gradient_advec_gauss_N20000_20260617_152654,"{'N': 20000, 'dt': 0.00125, 'dx': 0.0125}"
2026-06-17 15:27:54,main,sweep,diffusion,laplacian,diff_gauss,pipeline_results\sweeps\diffusion_rk4_laplacian_diff_gauss_sweep_20260617_152746\diffusion_euler_laplacian_diff_gauss_N5000_20260617_152746,"{'N': 5000, 'dt': 0.001, 'dx': 0.05}"
2026-06-17 15:28:09,main,sweep,diffusion,laplacian,diff_gauss,pipeline_results\sweeps\diffusion_rk4_laplacian_diff_gauss_sweep_20260617_152746\diffusion_rk4_laplacian_diff_gauss_N5000_20260617_152746,"{'N': 5000, 'dt': 0.001, 'dx': 0.05}"
2026-06-17 15:28:26,main,sweep,diffusion,laplacian,diff_gauss,pipeline_results\sweeps\diffusion_euler_laplacian_diff_gauss_sweep_20260617_152824\diffusion_euler_laplacian_diff_gauss_N2500_20260617_152824,"{'N': 2500, 'dt': 0.25, 'dx': 1.0}"
2026-06-17 15:28:26,main,sweep,diffusion,laplacian,diff_gauss,pipeline_results\sweeps\diffusion_euler_laplacian_diff_gauss_sweep_20260617_152824\diffusion_euler_laplacian_diff_gauss_N5000_20260617_152824,"{'N': 5000, 'dt': 0.0625, 'dx': 0.5}"
2026-06-17 15:28:26,main,sweep,diffusion,laplacian,diff_gauss,pipeline_results\sweeps\diffusion_euler_laplacian_diff_gauss_sweep_20260617_152824\diffusion_euler_laplacian_diff_gauss_N10000_20260617_152824,"{'N': 10000, 'dt': 0.015625, 'dx': 0.25}"
2026-06-17 15:28:33,main,sweep,diffusion,laplacian,diff_gauss,pipeline_results\sweeps\diffusion_euler_laplacian_diff_gauss_sweep_20260617_152824\diffusion_euler_laplacian_diff_gauss_N20000_20260617_152824,"{'N': 20000, 'dt': 0.00390625, 'dx': 0.125}"
2026-06-17 15:28:44,main,sweep,wave,laplacian,wave_gauss,pipeline_results\sweeps\wave_rk4_laplacian_wave_gauss_sweep_20260617_152841\wave_euler_laplacian_wave_gauss_N2000_20260617_152841,"{'N': 2000, 'dt': 0.0025, 'dx': 0.05}"
2026-06-17 15:28:44,main,sweep,wave,laplacian,wave_gauss,pipeline_results\sweeps\wave_rk4_laplacian_wave_gauss_sweep_20260617_152841\wave_leapfrog_laplacian_wave_gauss_N2000_20260617_152841,"{'N': 2000, 'dt': 0.0025, 'dx': 0.05}"
2026-06-17 15:28:47,main,sweep,wave,laplacian,wave_gauss,pipeline_results\sweeps\wave_rk4_laplacian_wave_gauss_sweep_20260617_152841\wave_rk4_laplacian_wave_gauss_N2000_20260617_152841,"{'N': 2000, 'dt': 0.0025, 'dx': 0.05}"
2026-06-17 15:28:54,main,sweep,wave,laplacian,wave_gauss,pipeline_results\sweeps\wave_leapfrog_laplacian_wave_gauss_sweep_20260617_152851\wave_leapfrog_laplacian_wave_gauss_N1000_20260617_152851,"{'N': 1000, 'dt': 0.01, 'dx': 0.1}"
2026-06-17 15:28:54,main,sweep,wave,laplacian,wave_gauss,pipeline_results\sweeps\wave_leapfrog_laplacian_wave_gauss_sweep_20260617_152851\wave_leapfrog_laplacian_wave_gauss_N2000_20260617_152851,"{'N': 2000, 'dt': 0.005, 'dx': 0.05}"
2026-06-17 15:28:54,main,sweep,wave,laplacian,wave_gauss,pipeline_results\sweeps\wave_leapfrog_laplacian_wave_gauss_sweep_20260617_152851\wave_leapfrog_laplacian_wave_gauss_N4000_20260617_152851,"{'N': 4000, 'dt': 0.0025, 'dx': 0.025}"
2026-06-17 15:28:57,main,sweep,wave,laplacian,wave_gauss,pipeline_results\sweeps\wave_leapfrog_laplacian_wave_gauss_sweep_20260617_152851\wave_leapfrog_laplacian_wave_gauss_N8000_20260617_152851,"{'N': 8000, 'dt': 0.00125, 'dx': 0.0125}"
2026-06-17 15:29:03,main,sweep,wave,laplacian,wave_gauss,pipeline_results\sweeps\wave_leapfrog_laplacian_wave_gauss_sweep_20260617_152851\wave_leapfrog_laplacian_wave_gauss_N16000_20260617_152851,"{'N': 16000, 'dt': 0.000625, 'dx': 0.00625}"
2026-06-17 15:29:31,main,single,shallow_water,gradient,shallow_linear_gauss,pipeline_results\runs\shallow_water_lax_w_gradient_shallow_linear_gauss_N1000_20260617_152914,"{'N': 1000, 'dt': 0.01, 'dx': 0.5}"
2026-06-17 15:29:40,main,sweep,shallow_water,gradient,shallow_linear_gauss,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_linear_gauss_sweep_20260617_152938\shallow_water_lax_w_gradient_shallow_linear_gauss_N500_20260617_152938,"{'N': 500, 'dt': 0.02, 'dx': 1.0}"
2026-06-17 15:29:41,main,sweep,shallow_water,gradient,shallow_linear_gauss,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_linear_gauss_sweep_20260617_152938\shallow_water_lax_w_gradient_shallow_linear_gauss_N1000_20260617_152938,"{'N': 1000, 'dt': 0.01, 'dx': 0.5}"
2026-06-17 15:29:41,main,sweep,shallow_water,gradient,shallow_linear_gauss,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_linear_gauss_sweep_20260617_152938\shallow_water_lax_w_gradient_shallow_linear_gauss_N2000_20260617_152938,"{'N': 2000, 'dt': 0.005, 'dx': 0.25}"
2026-06-17 15:29:44,main,sweep,shallow_water,gradient,shallow_linear_gauss,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_linear_gauss_sweep_20260617_152938\shallow_water_lax_w_gradient_shallow_linear_gauss_N4000_20260617_152938,"{'N': 4000, 'dt': 0.0025, 'dx': 0.125}"
2026-06-17 15:29:52,main,single,shallow_water,gradient,shallow_dam,pipeline_results\runs\shallow_water_lax_w_gradient_shallow_dam_N1000_20260617_152950,"{'N': 1000, 'dt': 0.01, 'dx': 0.5}"
2026-06-17 15:29:57,main,sweep,shallow_water,gradient,shallow_dam,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_dam_sweep_20260617_152955\shallow_water_lax_w_gradient_shallow_dam_N500_20260617_152955,"{'N': 500, 'dt': 0.02, 'dx': 1.0}"
2026-06-17 15:29:57,main,sweep,shallow_water,gradient,shallow_dam,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_dam_sweep_20260617_152955\shallow_water_lax_w_gradient_shallow_dam_N1000_20260617_152955,"{'N': 1000, 'dt': 0.01, 'dx': 0.5}"
