time,l2_error,relative_error,max_error
231.99999999999997,0.15766542571391648,1.4083367057395637,0.5
234.0,0.15731700569718463,1.405224465396724,0.5
236.0,0.156818890797084,1.4007750847267957,0.5
238.0,0.15612469410651506,1.3945742155387395,0.5
240.0,0.15518162902854638,1.3861503448062027,0.5
242.0,0.15393289192258464,1.3749960775077021,0.5
244.0,0.15232149243512164,1.360602350820141,0.5
246.0,0.1502956028760937,1.3425062170937105,0.5
248.0,0.14781534296388774,1.3203514481688348,0.5
250.0,0.14486074004222327,1.2939596395232555,0.5
252.0,0.14144041302458746,1.2634077790709228,0.5
254.0,0.1376003092527316,1.2291062886124715,0.5
256.0,0.133431540143367,1.191869015266796,0.5
258.0,0.12907595346280948,1.1529630054711553,0.5
260.0,0.12472749670758485,1.114120683294471,0.5
262.0,0.12062673135328073,1.0774908493030242,0.5
264.0,0.11704544081304347,1.045501192097609,0.5
266.0,0.11425907390843805,1.0206121413139955,0.5
268.0,0.11250805832996792,1.004971302491438,0.5
270.0,0.111955077493998,1.0000318352281452,0.5
272.0,0.11265139949133329,1.00625168858801,0.5
274.0,0.11452564533068117,1.0229932741270156,0.5
276.0,0.11739999434840893,1.0486682197179253,0.5
278.0,0.12102669960803833,1.0810635411075533,0.5
280.0,0.12513087020602306,1.1177237922284737,0.5
282.0,0.12944725558419573,1.1562796388046805,0.5
284.0,0.13374521233116668,1.194670872767562,0.5
286.0,0.13784172834321584,1.2312627497710023,0.5
288.0,0.14160514748588007,1.2648792595016392,0.5
290.0,0.14495269982248554,1.2947810645973243,0.5
292.0,0.1478443883190709,1.3206108940153192,0.5
294.0,0.150275056462356,1.342322687518301,0.5
296.0,0.15226588020751278,1.3601055980217716,0.5
298.0,0.15385612682882302,1.3743103780350718,0.5
300.0,0.15509574726296732,1.3853832112239919,0.5
302.0,0.15603916034843535,1.3938101905120854,0.5
304.0,0.15674041309370698,1.400074087474243,0.5
306.0,0.15724974914923215,1.4046237004239728,0.5
308.0,0.15761149042274436,1.4078549320726454,0.5
310.0,0.1578630419727237,1.4101019008016322,0.5
312.0,0.15803477417043385,1.4116358880819597,0.5
314.0,0.15815051945768802,1.412669775732459,0.5
316.0,0.15822843835823483,1.4133657815131437,0.5
318.0,0.15828205050522515,1.4138446687145583,0.5
320.0,0.15832127926879472,1.4141950772293332,0.5
322.0,0.15835341212723994,1.4144821020085698,0.5
324.0,0.15838392529535927,1.4147546590037148,0.5
326.0,0.15841715611264437,1.4150514912326733,0.5
328.0,0.15845682943591607,1.4154058707496104,0.5
330.0,0.15850645621350137,1.4158491588842441,0.5
332.0,0.1585696261418306,1.4164134203788754,0.5
334.0,0.15865021465553233,1.4171332723146641,0.5
336.0,0.15875251996706946,1.4180471082097403,0.5
338.0,0.15888134034234205,1.4191977882787667,0.5001147208615755
340.0,0.15904199655250864,1.4206328399824495,0.5000910031860767
342.0,0.15924030025603797,1.4224041756021635,0.5009095080462959
344.0,0.1594824663614017,1.4245673094251017,0.5010930407524541
346.0,0.1597749663965759,1.4271800479763765,0.5027596735092681
348.0,0.16012432061942186,1.4303006330578,0.5033636959042725
350.0,0.1605368289848674,1.4339853386287964,0.5067423337441568
352.0,0.16101824496625933,1.4382855572357223,0.5098267939437244
354.0,0.16157340129408895,1.4432444569460794,0.5146738561280975
356.0,0.1622058024469702,1.448893341299271,0.5224388537239149
358.0,0.16291720456601078,1.4552478969175937,0.5329391276397587
360.0,0.16370720860002297,1.4623045593008643,0.5478412147519581
362.0,0.16457289612148188,1.4700372597744689,0.5690922506380599
364.0,0.16550853865920218,1.478394829114071,0.6004246632153979
366.0,0.16650541006953387,1.4872993214568526,0.6414197554362978
368.0,0.16755172727750303,1.4966454836811225,0.6827498910869165
370.0,0.16863273825765032,1.5063015279975838,0.7233379939919968
372.0,0.1697309708489282,1.516111240005944,0.7627364050423178
374.0,0.17082667021756168,1.5258970632849693,0.8004868566463562
376.0,0.17189857116354804,1.535462086295603,0.8361287830950626
378.0,0.17292567868524364,1.5445818204594193,0.8692082011418898
380.0,0.17389242383338285,1.5529539502016025,0.8992869371289622
382.0,0.1748032930662308,1.5600234291006516,0.9259519516425897
384.0,0.17571693300783459,1.5645502393405444,0.9488244953950955
386.0,0.1768029603856631,1.5639208416657036,0.967568822034175
388.0,0.17838754071771654,1.5538833115583417,0.9819001857344818
390.0,0.18088957827474322,1.5303716258611777,0.9915918641497219
392.0,0.18454484666785206,1.4938928453669986,0.996480970535034
394.0,0.18900112658524917,1.452114215965199,0.9964728520225413
396.0,0.19314775540529042,1.4161256026742362,0.9915439130838022
398.0,0.1955036626673397,1.3944702944392386,0.9900498337491681
